Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Lat,Long_,Active,Combined_Key
Yunnan,China,2020-01-23,2,0,0,-19.015438,29.154857,2,"Yunnan, China"
Zhejiang,China,2020-01-23,27,0,0,-19.015438,29.154857,27,"Zhejiang, China"
 ,Japan,2020-01-23,1,0,0,-19.015438,29.154857,1," , Japan"
 ,Thailand,2020-01-23,3,0,0,-19.015438,29.154857,3," , Thailand"
 ,South Korea,2020-01-23,1,0,0,-19.015438,29.154857,1," , South Korea"
 ,Singapore,2020-01-23,1,0,0,-19.015438,29.154857,1," , Singapore"
 ,Philippines,2020-01-23,0,0,0,-19.015438,29.154857,0," , Philippines"
 ,Malaysia,2020-01-23,0,0,0,-19.015438,29.154857,0," , Malaysia"
 ,Vietnam,2020-01-23,2,0,0,-19.015438,29.154857,2," , Vietnam"
 ,Australia,2020-01-23,0,0,0,-19.015438,29.154857,0," , Australia"
 ,Mexico,2020-01-23,0,0,0,-19.015438,29.154857,0," , Mexico"
 ,Brazil,2020-01-23,0,0,0,-19.015438,29.154857,0," , Brazil"
 ,Colombia,2020-01-23,0,0,0,-19.015438,29.154857,0," , Colombia"
Hubei,China,2020-01-24,549,24,31,-19.015438,29.154857,494,"Hubei, China"
Guangdong,China,2020-01-24,53,0,2,-19.015438,29.154857,51,"Guangdong, China"
Zhejiang,China,2020-01-24,43,0,1,-19.015438,29.154857,42,"Zhejiang, China"
Beijing,China,2020-01-24,36,0,1,-19.015438,29.154857,35,"Beijing, China"
Chongqing,China,2020-01-24,27,0,0,-19.015438,29.154857,27,"Chongqing, China"
Hunan,China,2020-01-24,24,0,0,-19.015438,29.154857,24,"Hunan, China"
Guangxi,China,2020-01-24,23,0,0,-19.015438,29.154857,23,"Guangxi, China"
Shanghai,China,2020-01-24,20,0,1,-19.015438,29.154857,19,"Shanghai, China"
Jiangxi,China,2020-01-24,18,0,0,-19.015438,29.154857,18,"Jiangxi, China"
Sichuan,China,2020-01-24,15,0,0,-19.015438,29.154857,15,"Sichuan, China"
Shandong,China,2020-01-24,15,0,0,-19.015438,29.154857,15,"Shandong, China"
Anhui,China,2020-01-24,15,0,0,-19.015438,29.154857,15,"Anhui, China"
Fujian,China,2020-01-24,10,0,0,-19.015438,29.154857,10,"Fujian, China"
Henan,China,2020-01-24,9,0,0,-19.015438,29.154857,9,"Henan, China"
Jiangsu,China,2020-01-24,9,0,0,-19.015438,29.154857,9,"Jiangsu, China"
Hainan,China,2020-01-24,8,0,0,-19.015438,29.154857,8,"Hainan, China"
Tianjin,China,2020-01-24,8,0,0,-19.015438,29.154857,8,"Tianjin, China"
Yunnan,China,2020-01-24,5,0,0,-19.015438,29.154857,5,"Yunnan, China"
Shaanxi,China,2020-01-24,5,0,0,-19.015438,29.154857,5,"Shaanxi, China"
Heilongjiang,China,2020-01-24,4,1,0,-19.015438,29.154857,3,"Heilongjiang, China"
Liaoning,China,2020-01-24,4,0,0,-19.015438,29.154857,4,"Liaoning, China"
Guizhou,China,2020-01-24,3,0,0,-19.015438,29.154857,3,"Guizhou, China"
Jilin,China,2020-01-24,3,0,0,-19.015438,29.154857,3,"Jilin, China"
Taiwan,Taiwan,2020-01-24,3,0,0,-19.015438,29.154857,3,"Taiwan, Taiwan"
Ningxia,China,2020-01-24,2,0,0,-19.015438,29.154857,2,"Ningxia, China"
Hong Kong,Hong Kong,2020-01-24,2,0,0,-19.015438,29.154857,2,"Hong Kong, Hong Kong"
Macau,Macau,2020-01-24,2,0,0,-19.015438,29.154857,2,"Macau, Macau"
Hebei,China,2020-01-24,2,1,0,-19.015438,29.154857,1,"Hebei, China"
Gansu,China,2020-01-24,2,0,0,-19.015438,29.154857,2,"Gansu, China"
Xinjiang,China,2020-01-24,2,0,0,-19.015438,29.154857,2,"Xinjiang, China"
Shanxi,China,2020-01-24,1,0,0,-19.015438,29.154857,1,"Shanxi, China"
Inner Mongolia,China,2020-01-24,1,0,0,-19.015438,29.154857,1,"Inner Mongolia, China"
